use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC2,label,DB1,512,13,encrypt,14.574,12598528,0,0,false,full
UC2,label,DB1,512,13,eval,96.826,20871464,0,0,false,full
UC2,label,DB1,512,13,decrypt,2.988,4469280,1048576,1,true,full
UC2,std,DB1,512,14,setup,232.832,68465776,0,0,false,full
UC2,std,DB1,512,14,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,14,encrypt,13.435,7139128,0,0,false,full
UC2,std,DB1,512,14,eval,74.338,35507048,0,0,false,full
UC2,std,DB1,512,14,decrypt,3.989,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,14,setup,229.780,54813232,0,0,false,full
UC2,std_modsw,DB1,512,14,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,14,encrypt,13.554,7139128,0,0,false,full
UC2,std_modsw,DB1,512,14,eval,72.949,35507048,0,0,false,full
UC2,std_modsw,DB1,512,14,decrypt,7.142,25997208,1048576,1,true,full
UC2,label,DB1,512,14,setup,235.841,54545288,0,0,false,full
UC2,label,DB1,512,14,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,14,encrypt,16.141,12598704,0,0,false,full
UC2,label,DB1,512,14,eval,94.369,41631584,0,0,false,full
UC2,label,DB1,512,14,decrypt,3.090,4469280,1048576,1,true,full
UC2,std,DB1,512,15,setup,233.099,68465664,0,0,false,full
UC2,std,DB1,512,15,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,15,encrypt,14.017,7139128,0,0,false,full
UC2,std,DB1,512,15,eval,74.488,35507048,0,0,false,full
UC2,std,DB1,512,15,decrypt,4.686,1185728,2097152,1,true,full
UC2,std_modsw,DB1,512,15,setup,238.164,59534128,0,0,false,full
UC2,std_modsw,DB1,512,15,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,15,encrypt,13.643,7139128,0,0,false,full
UC2,std_modsw,DB1,512,15,eval,73.109,35507048,0,0,false,full
UC2,std_modsw,DB1,512,15,decrypt,6.133,25996984,1048576,1,true,full
UC2,label,DB1,512,15,setup,230.510,70571936,0,0,false,full
UC2,label,DB1,512,15,precomp,0.000,0,0,0,false,full
