use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct
UC1,std,DB1,512,13,decrypt,4.663,1185936,2097152,1,true
UC1,label,DB1,512,13,precomp,0.003,0,0,0,false
UC1,label,DB1,512,13,setup,11.843,10013392,0,0,false
UC1,label,DB1,512,13,encrypt,18.841,11306840,0,0,false
UC1,label,DB1,512,13,eval,1.794,20216392,0,0,false
UC1,label,DB1,512,13,decrypt,3.658,3418248,1048576,1,true
UC1,std,DB1,512,14,precomp,0.003,0,0,0,false
UC1,std,DB1,512,14,setup,12.439,10014256,0,0,false
UC1,std,DB1,512,14,encrypt,15.632,7257200,0,0,false
UC1,std,DB1,512,14,eval,1.530,20070144,0,0,false
UC1,std,DB1,512,14,decrypt,4.118,1186608,2097152,1,true
UC1,label,DB1,512,14,precomp,0.001,0,0,0,false
UC1,label,DB1,512,14,setup,12.571,10013392,0,0,false
UC1,label,DB1,512,14,encrypt,19.700,11306760,0,0,false
UC1,label,DB1,512,14,eval,2.259,20216280,0,0,false
UC1,label,DB1,512,14,decrypt,4.006,3417768,1048576,1,true
UC1,std,DB1,512,15,precomp,0.005,0,0,0,false
UC1,std,DB1,512,15,setup,13.894,5511384,0,0,false
UC1,std,DB1,512,15,encrypt,17.068,7257200,0,0,false
UC1,std,DB1,512,15,eval,1.993,20084960,0,0,false
UC1,std,DB1,512,15,decrypt,4.374,1186720,2097152,1,true
UC1,label,DB1,512,15,precomp,0.002,0,0,0,false
UC1,label,DB1,512,15,setup,11.842,9996152,0,0,false
UC1,label,DB1,512,15,encrypt,18.972,11306312,0,0,false
UC1,label,DB1,512,15,eval,2.044,20216280,0,0,false
UC1,label,DB1,512,15,decrypt,3.497,3417784,1048576,1,true
UC1,std,DB1,512,16,precomp,0.003,0,0,0,false
UC1,std,DB1,512,16,setup,13.122,9996152,0,0,false
UC1,std,DB1,512,16,encrypt,19.628,7257200,0,0,false
UC1,std,DB1,512,16,eval,1.629,20085616,0,0,false
UC1,std,DB1,512,16,decrypt,5.337,1185936,2097152,1,true
UC1,label,DB1,512,16,precomp,0.001,0,0,0,false
UC1,label,DB1,512,16,setup,12.174,5514600,0,0,false
UC1,label,DB1,512,16,encrypt,19.435,11312240,0,0,false
UC1,label,DB1,512,16,eval,2.088,20216280,0,0,false
UC1,label,DB1,512,16,decrypt,4.030,3418248,1048576,1,true
UC1,std,DB1,512,17,precomp,0.002,0,0,0,false
UC1,std,DB1,512,17,setup,11.793,10013504,0,0,false
UC1,std,DB1,512,17,encrypt,16.876,7257200,0,0,false
UC1,std,DB1,512,17,eval,1.667,20085616,0,0,false
UC1,std,DB1,512,17,decrypt,5.183,1185936,2097152,1,true
UC1,label,DB1,512,17,precomp,0.004,0,0,0,false
UC1,label,DB1,512,17,setup,12.867,10013392,0,0,false
UC1,label,DB1,512,17,encrypt,17.818,11306888,0,0,false
UC1,label,DB1,512,17,eval,1.059,20216280,0,0,false
UC1,label,DB1,512,17,decrypt,3.361,3417928,1048576,1,true
UC1,std,DB1,512,18,precomp,0.003,0,0,0,false
UC1,std,DB1,512,18,setup,14.299,9996264,0,0,false
UC1,std,DB1,512,18,encrypt,18.528,6714352,0,0,false
UC1,std,DB1,512,18,eval,1.661,20085728,0,0,false
UC1,std,DB1,512,18,decrypt,5.553,-1177488,2097152,1,true
UC1,label,DB1,512,18,precomp,0.003,0,0,0,false
UC1,label,DB1,512,18,setup,13.175,5514264,0,0,false
UC1,label,DB1,512,18,encrypt,20.238,11306344,0,0,false
UC1,label,DB1,512,18,eval,2.709,20216280,0,0,false
UC1,label,DB1,512,18,decrypt,3.871,3417768,1048576,1,true
UC1,std,DB1,512,19,precomp,0.002,0,0,0,false
UC1,std,DB1,512,19,setup,13.660,10013392,0,0,false
UC1,std,DB1,512,19,encrypt,16.289,7257200,0,0,false
UC1,std,DB1,512,19,eval,1.592,20085616,0,0,false
UC1,std,DB1,512,19,decrypt,4.022,1185936,2097152,1,true
UC1,label,DB1,512,19,precomp,0.006,0,0,0,false
UC1,label,DB1,512,19,setup,10.936,10013112,0,0,false
UC1,label,DB1,512,19,encrypt,19.434,11306680,0,0,false
UC1,label,DB1,512,19,eval,1.793,20216280,0,0,false
UC1,label,DB1,512,19,decrypt,3.411,3418472,1048576,1,true
UC1,std,DB1,512,20,precomp,0.005,0,0,0,false
UC1,std,DB1,512,20,setup,11.778,10013392,0,0,false
UC1,std,DB1,512,20,encrypt,15.888,7257200,0,0,false
UC1,std,DB1,512,20,eval,1.595,20085616,0,0,false
UC1,std,DB1,512,20,decrypt,4.274,1186608,2097152,1,true
UC1,label,DB1,512,20,precomp,0.003,0,0,0,false
UC1,label,DB1,512,20,setup,13.077,10013392,0,0,false
UC1,label,DB1,512,20,encrypt,21.707,6056488,0,0,false
UC1,label,DB1,512,20,eval,1.900,20216280,0,0,false
UC1,label,DB1,512,20,decrypt,3.210,3418024,1048576,1,true
UC1,std,DB2,100000,1,precomp,0.461,0,0,0,false
UC1,std,DB2,100000,1,setup,11.940,5511384,0,0,false
UC1,std,DB2,100000,1,encrypt,16.991,6714352,0,0,false
UC1,std,DB2,100000,1,eval,1.791,20085616,0,0,false
UC1,std,DB2,100000,1,decrypt,4.362,5910136,2097152,1,true
UC1,label,DB2,100000,1,precomp,0.483,0,0,0,false
UC1,label,DB2,100000,1,setup,13.323,5514264,0,0,false
UC1,label,DB2,100000,1,encrypt,17.849,11306488,0,0,false
UC1,label,DB2,100000,1,eval,2.880,20216280,0,0,false
UC1,label,DB2,100000,1,decrypt,3.508,3418248,1048576,1,true
UC1,std,DB2,100000,2,precomp,0.617,0,0,0,false
UC1,std,DB2,100000,2,setup,14.412,9996136,0,0,false
UC1,std,DB2,100000,2,encrypt,17.035,7257200,0,0,false
UC1,std,DB2,100000,2,eval,1.819,20085728,0,0,false
UC1,std,DB2,100000,2,decrypt,5.118,-1177488,2097152,1,true
UC1,label,DB2,100000,2,precomp,0.694,0,0,0,false
UC1,label,DB2,100000,2,setup,12.793,5514280,0,0,false
UC1,label,DB2,100000,2,encrypt,17.450,11306184,0,0,false
UC1,label,DB2,100000,2,eval,2.843,20215864,0,0,false
UC1,label,DB2,100000,2,decrypt,3.999,3418248,1048576,1,true
UC1,std,DB2,100000,3,precomp,0.246,0,0,0,false
UC1,std,DB2,100000,3,setup,12.889,9996152,0,0,false
UC1,std,DB2,100000,3,encrypt,16.082,7257200,0,0,false
UC1,std,DB2,100000,3,eval,1.168,20085616,0,0,false
UC1,std,DB2,100000,3,decrypt,3.778,1185728,2097152,1,true
UC1,label,DB2,100000,3,precomp,0.519,0,0,0,false
UC1,label,DB2,100000,3,setup,14.037,5510712,0,0,false
UC1,label,DB2,100000,3,encrypt,18.561,11306696,0,0,false
UC1,label,DB2,100000,3,eval,1.725,20216280,0,0,false
UC1,label,DB2,100000,3,decrypt,3.468,3418264,1048576,1,true
UC1,std,DB2,100000,4,precomp,0.506,0,0,0,false
UC1,std,DB2,100000,4,setup,12.792,13176184,0,0,false
UC1,std,DB2,100000,4,encrypt,17.932,7257200,0,0,false
UC1,std,DB2,100000,4,eval,1.870,20070144,0,0,false
UC1,std,DB2,100000,4,decrypt,5.028,1185728,2097152,1,true
UC1,label,DB2,100000,4,precomp,0.235,0,0,0,false
UC1,label,DB2,100000,4,setup,13.675,9996152,0,0,false
UC1,label,DB2,100000,4,encrypt,23.531,11306248,0,0,false
UC1,label,DB2,100000,4,eval,2.918,20216280,0,0,false
